日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,代码,名称
2024-02-07,32.29,29.55,32.48,29.40,20115,62817339.42,10.00,-4.06,-1.25,9.91,873693,阿为特
2024-02-08,28.96,29.76,31.99,28.01,15458,45432899.32,13.47,0.71,0.21,7.61,873693,阿为特
2024-02-19,30.00,31.03,31.03,29.60,14950,45285907.64,4.81,4.27,1.27,7.36,873693,阿为特
2024-02-20,30.60,32.10,33.19,30.60,17530,56355255.81,8.35,3.45,1.07,8.64,873693,阿为特
2024-02-21,31.61,31.93,33.00,31.61,13399,43324497.93,4.33,-0.53,-0.17,6.60,873693,阿为特
2024-02-22,31.88,34.55,36.49,31.50,28116,96566095.87,15.63,8.21,2.62,13.85,873693,阿为特
2024-02-23,33.85,33.55,35.09,33.49,17661,59990628.96,4.63,-2.89,-1.00,8.70,873693,阿为特
2024-02-26,38.99,34.49,38.99,34.48,24932,89588298.81,13.44,2.80,0.94,12.28,873693,阿为特
2024-02-27,33.01,35.52,35.60,32.92,24584,85458381.56,7.77,2.99,1.03,12.11,873693,阿为特
2024-02-28,35.52,33.25,37.60,33.25,22442,79417207.80,12.25,-6.39,-2.27,11.06,873693,阿为特
2024-02-29,32.41,34.69,36.00,32.41,21490,75020120.52,10.80,4.33,1.44,10.59,873693,阿为特
2024-03-01,34.68,34.75,35.90,34.01,19303,67187605.08,5.45,0.17,0.06,9.51,873693,阿为特
2024-03-04,34.96,33.38,34.96,33.24,13640,46028822.05,4.95,-3.94,-1.37,6.72,873693,阿为特
2024-03-05,32.95,31.89,33.78,31.53,14543,47274874.15,6.74,-4.46,-1.49,7.16,873693,阿为特
2024-03-06,31.50,33.01,33.33,31.50,11068,36134722.14,5.74,3.51,1.12,5.45,873693,阿为特
2024-03-07,34.00,32.21,34.00,32.12,8756,28753841.07,5.70,-2.42,-0.80,4.31,873693,阿为特
2024-03-08,32.21,32.01,32.63,31.90,6362,20402822.49,2.27,-0.62,-0.20,3.13,873693,阿为特
2024-03-11,32.00,32.26,32.67,31.81,7328,23522638.07,2.69,0.78,0.25,3.61,873693,阿为特
2024-03-12,32.55,33.36,33.55,32.00,11952,39149009.09,4.80,3.41,1.10,5.89,873693,阿为特
2024-03-13,33.35,32.25,33.37,32.17,8720,28416382.37,3.60,-3.33,-1.11,4.30,873693,阿为特
2024-03-14,32.74,31.00,32.77,30.82,9947,31248621.85,6.05,-3.88,-1.25,4.90,873693,阿为特
2024-03-15,31.20,31.99,32.50,30.91,11042,35124607.44,5.13,3.19,0.99,5.44,873693,阿为特
2024-03-18,31.68,31.91,32.38,31.50,7968,25385745.13,2.75,-0.25,-0.08,3.93,873693,阿为特
2024-03-19,31.64,30.96,32.31,30.94,8122,25515662.81,4.29,-2.98,-0.95,4.00,873693,阿为特
2024-03-20,31.37,30.56,31.37,30.30,6779,20852438.47,3.46,-1.29,-0.40,3.34,873693,阿为特
2024-03-21,30.51,29.90,30.89,29.88,9667,29159375.35,3.30,-2.16,-0.66,4.76,873693,阿为特
2024-03-22,30.30,29.01,30.30,28.95,7383,21617383.51,4.52,-2.98,-0.89,3.64,873693,阿为特
2024-03-25,29.01,28.51,29.49,28.40,7193,20722424.24,3.76,-1.72,-0.50,3.54,873693,阿为特
2024-03-26,28.46,28.83,29.27,28.40,5025,14447175.06,3.05,1.12,0.32,2.48,873693,阿为特
2024-03-27,28.53,28.97,29.90,28.52,8068,23716320.32,4.79,0.49,0.14,3.97,873693,阿为特
2024-03-28,28.83,28.84,29.35,28.63,7937,22974755.68,2.49,-0.45,-0.13,3.91,873693,阿为特
2024-03-29,28.66,28.76,29.06,28.53,4482,12869368.87,1.84,-0.28,-0.08,2.21,873693,阿为特
2024-04-01,28.98,28.78,29.30,28.46,3887,11171387.89,2.92,0.07,0.02,1.91,873693,阿为特
2024-04-02,28.79,29.75,30.50,28.78,13430,40379042.56,5.98,3.37,0.97,6.62,873693,阿为特
2024-04-03,29.46,28.80,30.32,28.80,7051,20763441.63,5.11,-3.19,-0.95,3.47,873693,阿为特
2024-04-08,28.88,26.84,29.46,26.50,13326,36122985.48,10.28,-6.81,-1.96,6.56,873693,阿为特
2024-04-09,26.86,26.60,27.19,26.50,6560,17491107.94,2.57,-0.89,-0.24,3.23,873693,阿为特
2024-04-10,26.86,27.06,28.51,26.31,9962,27407796.95,8.27,1.73,0.46,4.91,873693,阿为特
2024-04-11,26.67,26.25,27.29,26.20,9222,24478762.56,4.03,-2.99,-0.81,4.54,873693,阿为特
2024-04-12,26.85,25.31,26.85,25.30,4969,12873074.09,5.90,-3.58,-0.94,2.45,873693,阿为特
2024-04-15,25.78,23.27,25.78,22.88,11026,25970114.53,11.46,-8.06,-2.04,5.43,873693,阿为特
2024-04-16,23.35,19.96,23.35,19.31,12801,26686672.70,17.36,-14.22,-3.31,6.31,873693,阿为特
2024-04-17,20.65,21.84,21.90,20.00,13049,27718874.53,9.52,9.42,1.88,6.43,873693,阿为特
2024-04-18,21.75,22.02,23.35,21.01,12002,26659625.42,10.71,0.82,0.18,5.91,873693,阿为特
2024-04-19,21.69,22.59,23.00,20.90,12248,27099711.48,9.54,2.59,0.57,6.03,873693,阿为特
2024-04-22,21.50,21.90,23.20,21.48,8749,19485727.01,7.61,-3.05,-0.69,4.31,873693,阿为特
2024-04-23,21.90,21.96,22.31,21.70,5729,12581644.28,2.79,0.27,0.06,2.82,873693,阿为特
2024-04-24,22.24,21.60,22.24,21.50,6032,13109431.87,3.37,-1.64,-0.36,2.97,873693,阿为特
2024-04-25,21.38,20.96,21.79,20.79,6126,12992348.45,4.63,-2.96,-0.64,3.02,873693,阿为特
2024-04-26,21.26,20.98,21.26,20.80,5937,12468208.33,2.19,0.10,0.02,2.92,873693,阿为特
2024-04-29,21.28,21.93,22.50,20.90,10432,22429909.74,7.63,4.53,0.95,5.14,873693,阿为特
2024-04-30,21.94,22.34,22.88,21.88,10033,22520045.76,4.56,1.87,0.41,4.94,873693,阿为特
2024-05-06,22.70,22.20,22.92,22.17,7018,15734608.53,3.36,-0.63,-0.14,3.46,873693,阿为特
2024-05-07,22.10,21.90,22.20,21.78,4928,10806426.85,1.89,-1.35,-0.30,2.43,873693,阿为特
2024-05-08,22.12,22.79,23.45,21.80,13305,30454425.32,7.53,4.06,0.89,6.55,873693,阿为特
2024-05-09,22.51,22.57,23.01,22.40,7919,17916570.04,2.68,-0.97,-0.22,3.90,873693,阿为特
2024-05-10,22.53,21.69,22.68,21.58,7165,15715589.60,4.87,-3.90,-0.88,3.53,873693,阿为特
2024-05-13,21.39,21.25,21.96,20.89,4039,8628606.34,4.93,-2.03,-0.44,1.99,873693,阿为特
2024-05-14,21.16,21.30,21.59,20.99,2612,5549493.90,2.82,0.24,0.05,1.29,873693,阿为特
2024-05-15,21.30,20.86,21.58,20.81,4125,8657269.14,3.62,-2.07,-0.44,2.03,873693,阿为特
2024-05-16,20.86,20.39,21.19,20.33,4903,10090689.23,4.12,-2.25,-0.47,2.42,873693,阿为特
2024-05-17,20.10,20.42,20.55,20.10,3131,6365602.55,2.21,0.15,0.03,1.54,873693,阿为特
2024-05-20,20.60,20.52,21.12,20.45,3215,6631839.06,3.28,0.49,0.10,1.58,873693,阿为特
2024-05-21,20.72,20.05,20.72,20.00,3325,6735173.33,3.51,-2.29,-0.47,1.64,873693,阿为特
2024-05-22,20.18,20.17,20.27,20.03,2801,5644424.04,1.20,0.60,0.12,1.38,873693,阿为特
2024-05-23,20.38,26.22,26.22,20.30,42827,102963205.95,29.35,30.00,6.05,21.10,873693,阿为特
